Class Times	58
1	 9:00 AM 10:00 AM MTWF
2	 2:00 PM  4:00 PM T
3	10:00 AM 11:00 AM MWF
4	11:30 AM  1:00 PM TTH
5	 2:00 PM  4:00 PM M
6	 8:30 AM 10:00 AM TTH
7	 1:00 PM  2:30 PM TTH
8	 1:00 PM  2:30 PM MW
9	 2:30 PM  4:00 PM TTH
10	 7:00 PM  9:00 PM T
11	 1:00 PM  4:00 PM T
12	 6:15 PM  8:15 PM T
13	 2:00 PM  4:00 PM W
14	11:00 AM 12:00 PM MWF
15	 1:00 PM  4:00 PM W
16	 2:00 PM  4:00 PM F
17	 2:30 PM  4:00 PM MW
18	10:00 AM 11:30 AM TTH
19	 7:00 PM  9:30 PM M
20	 1:00 PM  3:00 PM W
21	 1:00 PM  4:00 PM TH
22	 7:00 PM 10:00 PM T
23	 1:00 PM  3:30 PM M
24	 9:00 AM 10:00 AM MWF
25	11:00 AM 12:00 PM M
26	11:00 AM 12:00 PM MW
27	12:00 PM  2:00 PM T
28	 1:00 PM  4:00 PM TW
29	12:00 PM  2:00 PM W
30	12:00 PM  1:00 PM MWF
31	 6:00 PM  7:00 PM T
32	 7:00 PM 10:00 PM W
33	 1:00 PM  3:30 PM T
34	 5:30 PM  8:00 PM W
35	 2:00 PM  3:00 PM MWF
36	 2:00 PM  4:00 PM TH
37	 9:00 AM 10:00 AM M
38	 1:00 PM  2:00 PM MWF
39	 7:00 PM 10:00 PM M
40	10:00 AM 11:00 AM M-F
41	 1:00 PM  4:00 PM M-TH
42	12:00 PM  2:00 PM M
43	 1:00 PM  4:00 PM M
44	 1:00 PM  3:00 PM TH
45	 6:30 PM  9:00 PM M
46	 7:00 PM  9:30 PM W
47	 9:00 AM 10:00 AM M-F
48	12:00 PM  1:00 PM M-F
49	10:00 AM 11:00 AM M
50	10:00 AM 11:00 AM MTWF
51	 7:00 PM  9:30 PM T
52	11:30 AM  1:00 PM T
53	 1:00 PM  3:30 PM W
54	 1:00 PM  4:00 PM MW
55	12:00 PM  1:00 PM M
56	 1:00 PM  4:00 PM F
57	 8:00 AM  9:00 AM M-F
58	 1:00 PM  2:30 PM F
Rooms	60
TAYSEM	9
CARP25	20
CARP21	28
DAL100A	20
TH224	32
TH110	81
CARP17	12
GOCOM	8
TAYE	24
PK229	32
CARP15	23
EHLEC	25
CARP13	14
TAYD	32
PK338	112
TAYC	17
TAYG	26
PK25	77
GIL101	13
PK227	11
TH104	21
EHII	26
PK278	19
PK128	7
PK180	47
PK243	39
THTL	13
DAL204	64
TAYF	39
PK336	46
TH111	29
GIL210	17
DAL112	14
EHI	16
PK264	8
TH251	14
ROSTUD	8
PEMSTD	6
RCSEM	13
PK328	15
DAL105	13
PK349	18
PK337	14
DAL318	12
EHIII	21
PK241	1
PK300	2
GOB	27
TAYB	23
ARNST	11
PK11	5
TH102	16
EHSEM	15
RCCON	10
PK259	7
PK232	6
PK200	5
CAN311	2
PK10	9
PK182	1
Classes	236
