Course	Room	Teacher	Time	Students
111	GST102	153	7	1 213 335 392 648 687 758 871 999 1075 
108	HLL107	105	2	1 48 115 176 181 312 333 416 474 510 525 599 659 679 961 975 1022 1128 1185 
359	STOAUD	137	1	1 6 11 20 34 68 188 199 206 212 215 225 229 251 252 280 293 357 386 405 413 453 454 461 499 500 502 594 613 618 622 625 649 678 693 702 713 731 740 745 792 801 912 939 942 975 989 1020 1025 1058 1153 1156 1157 1165 1177 1184 
323	GST102	44	4	2 15 85 91 144 414 438 487 602 745 776 823 898 1058 
209	STO10	230	5	2 10 139 165 192 213 398 438 542 591 594 602 635 792 915 954 1002 1026 1049 1076 1088 1113 1136 
476	ESTW115	254	6	3 116 191 312 387 762 782 801 872 1132 1150 1156 
549	GST101	77	2	3 12 70 184 232 288 372 414 428 445 471 554 555 684 694 711 714 783 824 905 912 1066 1069 1073 1166 
313	SHA410	188	1	3 7 13 16 204 226 233 285 288 296 377 380 398 443 451 463 468 481 489 527 531 536 554 583 588 591 624 671 689 732 734 753 776 813 829 851 981 1001 1008 1010 1026 1028 1042 1066 1116 1132 1173 
98	HLL6	4	1	4 19 49 122 124 133 209 222 403 409 469 485 603 626 817 855 935 987 1074 1093 
478	ESTW309	33	2	4 9 17 37 125 141 215 275 280 359 425 447 507 592 687 698 777 813 894 895 1184 
709	ESTW309	56	1	5 22 38 66 78 106 139 170 180 196 250 324 336 364 408 411 441 447 483 495 592 700 728 750 752 759 766 777 895 905 957 960 1017 1060 1069 1079 1103 1104 1120 1125 1162 1170 1175 1183 
590	OBS	39	3	5 22 38 66 170 414 447 728 766 895 1017 1103 1120 1175 1183 
632	SHAAUD	134	2	5 34 38 68 110 116 162 165 210 229 318 342 364 368 386 453 455 461 467 481 500 520 585 669 738 740 776 820 836 939 957 1026 1028 1039 1057 1058 1120 1139 
15	STOAUD	22	2	6 16 19 44 80 81 85 88 96 175 278 454 457 479 538 568 574 584 598 638 652 653 716 730 752 765 767 823 891 977 990 1017 1023 1025 1037 1080 1092 1116 1161 1165 1170 
412	ESTW309	27	6	6 24 72 109 152 222 225 259 298 347 370 388 431 445 484 496 500 511 517 537 555 604 608 664 710 746 824 929 971 1005 1047 1111 
659	CHS101	180	2	7 8 65 69 127 130 133 147 182 212 224 389 503 536 558 625 644 686 722 827 839 936 
33	HLL107	212	4	8 34 78 80 116 224 262 282 312 447 449 503 627 737 787 804 989 991 
684	SHA412	261	6	8 10 43 76 202 357 363 456 549 606 635 721 722 723 724 775 787 793 1044 1094 
172	HLL7	257	1	9 35 43 44 47 127 190 210 255 290 467 584 609 614 638 647 656 662 861 891 924 1053 1092 
458	STOAUD	276	5	9 93 114 168 276 444 557 620 709 821 841 849 1052 1139 1161 
370	HLL106	318	4	10 39 72 86 174 227 246 401 412 510 717 718 868 984 1109 1115 
618	HLL6	4	2	10 11 18 36 79 169 199 270 306 337 377 413 527 580 724 750 793 801 992 1024 1031 1064 1129 1136 
563	ESTW309	261	5	12 26 35 154 170 258 282 318 335 380 385 537 647 656 662 716 759 767 823 861 933 978 981 1010 1037 1060 1079 1103 1125 1127 1128 1177 
124	OBS	297	6	13 433 569 579 737 
282	OBS	122	2	13 92 111 193 301 433 489 490 703 731 737 847 881 928 1131 
22	OBS	122	4	13 193 301 433 489 490 714 731 847 859 881 928 1131 1136 
445	STO10	88	6	14 20 22 48 101 129 203 238 446 502 574 598 602 947 999 1023 1040 1131 1155 
72	STO301	21	2	14 150 396 451 498 675 744 786 898 955 996 
396	TAYD	330	16	15 896 
686	GST103	77	9	16 300 659 902 1078 1146 1154 
574	STO207	85	3	16 237 315 438 450 643 860 982 1055 1140 
603	STO207	85	5	16 237 315 367 544 655 859 860 941 982 1094 
180	LNKL205	48	1	17 704 722 
21	STO10	72	8	17 260 270 288 411 416 426 492 493 496 507 696 728 813 896 1127 1153 
514	STO10	292	4	17 18 54 92 100 154 158 162 237 270 293 326 374 381 385 805 1040 1042 1043 1061 1065 1083 1105 1107 1153 
737	ESTW307	119	1	18 23 24 80 96 99 100 110 114 125 137 167 177 195 236 262 263 284 339 362 402 445 471 484 507 538 580 585 593 628 637 651 669 804 825 826 830 879 926 927 937 974 1011 1027 1070 1083 1091 1134 1152 1166 
121	ESTW115	41	9	20 47 129 251 252 501 633 647 724 1064 
91	STO16	43	2	20 28 55 119 190 211 260 285 383 432 509 535 570 637 816 825 887 917 921 942 1008 1035 1091 
309	MAGILLMR	300	2	21 139 346 391 443 456 591 677 747 
350	STO301	88	4	21 128 176 249 330 348 451 498 993 996 
4	HLL112	151	5	21 166 643 658 704 
687	STO301	43	5	23 69 683 744 985 1011 1084 1145 1174 
295	HLL107	145	1	25 104 181 197 249 254 363 420 428 455 520 542 629 650 699 741 758 787 806 864 874 996 1114 1161 
341	HLL6	257	3	25 34 158 288 466 471 481 503 588 651 743 747 775 834 957 1021 1080 1094 1118 1156 1170 
202	HLS109	167	2	26 39 87 174 188 236 252 258 326 335 381 403 421 423 470 523 524 534 543 587 602 609 624 626 631 633 662 678 779 867 885 901 973 1061 1076 1121 1171 
129	STO207	118	10	27 375 616 780 1003 1150 
577	STO207	196	8	27 211 283 848 903 925 1169 
675	GST102	76	3	28 202 273 537 795 827 868 961 1060 1073 
