Class Times	58
1	11:30 AM  1:00 PM T H
2	10:00 AM 11:30 AM T H
3	 2:30 PM  4:00 PM M W
4	 9:30 AM 10:30 AM M W F
5	 2:30 PM  4:00 PM T H
6	 1:00 PM  4:00 PM F
7	 1:00 PM  4:00 PM W
8	10:30 AM 11:30 AM M W F
9	 1:00 PM  2:30 PM M W
10	11:30 AM  1:00 PM M W
11	11:30 AM 12:30 PM M W F
12	 8:30 AM 10:00 AM T H
13	 1:15 PM  4:00 PM F
14	 7:30 PM 10:00 PM M
15	 8:30 AM  9:30 AM M T W H F
16	 8:30 AM  9:30 AM M W F
17	 1:00 PM  4:00 PM M
18	 1:30 PM  2:30 PM M W F
19	 1:00 PM  4:00 PM T
20	 1:00 PM  2:30 PM T H
21	 4:30 PM  5:45 PM M T H
22	 1:00 PM  4:00 PM H
23	 7:30 PM 10:00 PM T
24	 1:15 PM  4:00 PM T
25	 9:00 AM 12:00 PM T
26	 1:30 PM  4:00 PM T
27	 1:30 PM  4:00 PM W
28	 6:50 PM  8:50 PM W
29	 1:15 PM  4:00 PM W
30	 1:00 PM  2:00 PM M
31	 1:00 PM  4:00 PM T H
32	11:30 AM 12:30 PM T H
33	 2:30 PM  4:00 PM H
34	11:30 AM  1:00 PM W F
35	 1:00 PM  4:00 PM W F
36	 1:30 PM  4:00 PM F
37	 7:00 PM  9:30 PM M
38	 3:00 PM  4:00 PM F
39	 1:30 PM  4:00 PM M
40	 7:00 PM  8:00 PM H
41	 1:00 PM  2:00 PM W
42	10:00 AM 11:00 AM T H
43	 7:00 PM  8:00 PM T
44	 2:30 PM  3:30 PM M W
45	11:30 AM  1:00 PM M
46	 9:00 AM 12:00 PM M
47	 1:30 PM  4:00 PM H
48	 6:00 PM  7:00 PM W
49	10:00 AM 12:30 PM M
50	 2:30 PM  4:00 PM M
51	 1:00 PM  2:30 PM T
52	11:30 AM  1:00 PM W
53	 2:30 PM  3:30 PM M W F
54	 2:30 PM  4:30 PM T H
55	 2:30 PM  4:00 PM W F
56	10:00 AM 11:30 AM M W
57	 7:00 PM  9:30 PM H
58	 1:00 PM  2:00 PM F
Rooms	47
HLS109	46
STOAUD	91
WDS	26
GST102	14
STO10	28
ESTW115	12
GST101	27
SHA410	74
HLL6	27
LNKL205	13
ESTW309	45
HLS105	47
OBS	21
SHAAUD	86
STO301	12
CHS104	26
STO18	12
CHS101	32
HLL107	30
HLL7	31
UN114	13
STO16	26
HLS108	47
SHA217	29
HLL106	16
ESTW307	51
HLL201	14
STO14	19
HLS11	18
STO119	17
SHA213	2
SHA412	23
GST103	11
MAGILLHVID	9
LNKL309	13
STO102	7
STO207	16
CHSAUD	35
MAGILLMR	10
HLL112	16
ROB7	5
UN111	4
GIACSWAN	12
HLS204	18
IRADEAREID	9
TAYD	4
MARSHAUD	9
Classes	260
Teachers	162
692	330
111	153
108	105
445	88
359	137
714	67
323	44
209	230
192	26
483	218
476	254
549	77
313	188
98	4
15	22
478	33
709	56
590	39
632	134
374	168
659	180
412	27
106	188
484	30
460	71
603	85
718	202
277	272
295	145
563	261
664	196
7	178
33	212
267	116
684	261
69	62
204	54
172	257
319	238
458	276
502	259
370	318
618	4
615	134
466	266
202	167
124	297
282	122
576	68
22	122
686	77
72	21
396	330
689	36
574	85
180	48
325	48
21	72
91	43
514	292
737	119
63	31
651	296
121	41
199	239
309	300
350	88
4	151
399	293
687	43
613	202
249	133
341	257
546	227
84	143
129	118
741	196
577	196
675	76
385	245
717	182
222	195
720	95
240	329
437	132
489	43
627	112
315	232
328	212
481	259
747	166
308	304
532	245
115	97
363	189
321	276
585	97
58	157
158	71
459	7
213	282
565	273
528	282
184	76
704	318
322	
333	325
740	159
548	107
729	
442	300
535	174
45	179
160	2
29	215
477	233
181	18
386	201
388	15
406	317
416	169
17	108
395	241
39	317
516	194
5	251
454	290
440	171
360	124
572	267
163	82
1	239
144	165
110	62
457	46
479	329
305	67
235	195
344	248
89	159
547	8
655	50
500	137
134	160
580	1
408	21
283	71
292	316
620	71
59	196
297	38
62	87
610	179
3	99
238	232
411	56
24	23
543	239
436	297
611	251
128	87
560	54
165	105
318	269
438	323
669	224
732	68
495	29
224	18
731	228
268	54
662	248
443	90
553	85
239	133
236	74
377	323
352	182
631	225
28	145
641	196
707	196
536	118
355	83
375	185
327	98
251	230
123	170
311	241
19	160
118	110
557	187
140	311
127	127
324	189
36	17
746	218
223	170
133	27
60	127
365	192
573	296
9	281
53	36
487	78
93	248
310	199
606	180
432	54
136	132
27	151
734	112
612	205
52	304
629	104
147	73
347	19
482	294
378	207
188	39
79	14
26	113
132	320
665	323
433	61
217	146
177	17
228	237
462	238
522	199
302	192
679	282
533	320
474	189
581	254
439	61
545	228
492	101
407	239
336	28
197	11
290	153
149	292
175	166
68	180
312	237
194	292
401	14
253	146
554	19
214	241
444	75
81	174
102	90
736	311
244	320
276	186
12	68
596	30
605	196
