Students	1176
1	111 108 359 714 359 
2	323 465 209 483 
3	203 476 549 313 
4	98 359 313 478 359 
5	709 709 590 632 374 353 
6	15 412 484 359 359 
7	659 549 465 313 
8	659 33 684 69 
9	172 313 478 319 458 
10	370 618 684 209 
11	618 359 313 15 359 
12	549 563 202 
13	124 282 313 478 22 
14	113 337 445 72 
15	330 323 396 689 
16	15 686 313 574 603 
17	180 21 359 514 478 359 
18	737 618 737 651 514 651 
19	15 98 632 597 
20	121 359 91 445 359 
21	309 350 652 4 
22	709 98 709 399 590 445 
23	252 737 687 651 737 651 
24	737 412 651 737 374 651 
25	480 295 341 546 
26	202 563 15 73 
27	671 518 701 129 577 
28	683 683 91 675 385 
29	254 171 222 720 
30	299 437 541 
31	252 284 489 
32	354 688 353 664 
33	315 204 328 525 
34	33 341 632 359 359 
35	172 563 313 359 359 
36	113 618 524 481 
37	747 478 532 
38	709 363 709 590 632 
39	370 202 632 321 385 
40	585 691 18 71 258 
41	58 204 459 
42	213 565 528 
43	704 172 684 313 
44	15 704 172 192 
45	425 322 322 333 333 740 
46	322 322 548 262 729 729 
47	121 172 313 714 
48	108 174 174 445 160 160 
49	98 460 29 72 
50	193 45 63 333 333 
51	113 308 477 374 
52	585 7 546 71 258 
53	58 692 181 192 
54	363 192 514 184 
55	585 386 91 651 651 
56	183 599 385 576 
57	7 406 416 328 
58	727 585 18 328 701 
59	588 403 395 
60	113 337 546 258 71 
61	171 516 5 
62	585 454 572 
63	193 106 45 1 
64	654 720 258 110 
65	472 659 457 192 
66	709 709 399 590 479 457 
67	203 308 399 331 
68	632 479 359 714 359 
69	659 221 235 687 
70	549 202 546 484 
71	89 547 500 
72	134 370 412 651 651 
73	113 40 
74	408 292 620 
75	397 648 95 59 718 
76	717 297 267 684 297 
77	608 69 576 610 
78	709 33 709 399 305 3 
79	221 235 618 408 238 
80	15 737 33 651 737 651 
81	15 289 535 714 
82	411 
83	585 144 24 328 
84	115 546 29 730 
85	15 323 328 71 258 
86	370 360 454 623 
87	202 436 
88	15 58 416 163 
89	360 454 615 305 
90	164 611 477 478 
91	323 344 62 565 
92	282 514 40 392 22 
93	562 279 279 128 560 458 
94	466 406 
95	438 669 308 405 
96	15 737 106 651 737 651 
97	472 732 
98	601 224 
99	737 651 737 731 651 
100	737 84 615 737 514 
101	438 308 445 481 
102	268 128 204 258 662 
103	397 648 63 553 
104	295 321 239 385 
105	315 328 
106	547 709 709 181 548 333 333 
107	130 344 238 71 258 
108	18 344 62 239 
109	236 412 106 376 
110	737 651 737 632 71 258 651 
111	282 15 478 392 
112	377 352 747 546 
113	585 268 62 29 71 258 
114	737 651 737 319 321 651 458 
115	108 631 333 333 
116	476 33 632 29 
117	28 589 
118	206 641 553 707 536 
119	495 84 91 651 651 
120	608 328 163 
121	297 267 192 297 262 
122	199 98 426 625 
123	130 454 388 160 160 
124	98 355 479 375 
125	737 651 737 478 163 651 
126	669 174 174 204 481 
127	659 172 108 478 
128	731 350 
129	121 123 192 445 
130	659 311 19 236 
131	115 585 7 
132	118 360 600 44 557 
133	115 659 127 98 
134	654 377 304 304 279 279 
135	7 324 199 165 
136	118 
137	737 62 204 651 737 651 
138	363 308 524 296 
139	709 309 709 632 209 
140	58 40 163 
141	223 343 478 117 
142	531 305 328 133 
143	360 309 45 305 
144	323 717 60 701 
145	454 572 
146	322 322 365 528 
147	659 631 365 573 
148	500 308 565 
149	115 296 405 328 
150	408 72 9 
151	199 669 528 
152	412 344 416 651 651 
153	297 669 308 565 297 
154	563 514 53 701 
155	115 615 279 279 
156	480 18 24 258 71 
157	193 189 62 676 
158	341 308 313 514 
159	631 548 310 740 
160	606 11 432 
161	615 9 
162	457 632 514 385 
163	7 601 408 704 
164	322 322 548 333 740 333 
165	127 224 632 209 
166	325 615 185 4 
167	601 737 136 737 651 651 
168	556 377 416 458 
169	618 669 405 565 
170	709 172 709 563 590 71 258 
171	732 720 328 
172	734 174 174 23 
173	440 192 
174	171 370 202 632 
175	612 52 565 15 
176	725 717 108 350 
177	737 264 651 737 651 
178	147 23 
179	585 98 546 71 258 
180	709 611 709 308 635 
181	295 108 313 184 
182	659 15 224 576 
183	89 411 436 
184	598 549 478 
185	7 69 184 714 
186	482 240 692 746 
187	378 436 516 
188	127 202 359 675 359 
189	308 436 188 516 321 
190	115 172 386 91 
191	585 476 297 386 297 
192	615 209 459 457 
193	120 282 651 651 22 
194	395 731 
195	737 692 45 651 737 651 
196	709 709 631 344 333 79 333 
197	26 295 132 675 
198	113 62 29 
199	457 618 202 359 359 
200	727 381 591 553 
201	166 27 305 258 71 
202	684 720 675 714 
203	58 615 181 445 
204	704 313 359 359 718 
205	386 651 359 393 651 359 
206	115 359 313 704 359 
207	134 495 535 187 458 
208	631 45 333 333 
209	487 127 98 209 
210	172 315 632 71 258 
211	91 160 229 577 160 
212	115 659 359 457 359 
213	157 111 224 209 
214	7 739 360 313 
215	359 60 217 478 359 
216	717 459 446 
217	177 238 258 
218	63 416 305 133 
219	719 163 
220	627 623 
221	442 324 311 460 
222	223 98 412 651 651 
223	556 115 627 720 458 
224	659 33 618 355 
225	123 412 457 359 359 
226	313 359 293 359 
227	370 535 544 714 
228	480 608 360 18 
229	26 359 632 722 359 
230	547 322 322 405 548 651 651 
231	608 411 436 343 
232	549 308 296 224 
233	313 460 359 73 359 
234	612 239 
235	19 365 224 333 
236	737 709 709 202 308 737 
237	213 514 679 574 603 
238	113 665 445 29 
239	520 615 137 
240	368 665 704 479 
241	193 62 204 741 
242	283 292 
243	556 585 615 248 
244	533 688 
245	19 388 365 573 
246	370 454 572 486 
247	655 573 
248	322 322 500 71 
249	295 717 267 350 
250	709 709 548 740 729 729 
251	601 121 337 359 359 
252	121 202 359 592 359 
253	153 228 311 172 
254	466 295 98 29 
255	115 581 172 313 
256	308 378 52 516 
257	690 
258	311 563 202 69 
259	386 45 412 651 651 
260	19 21 91 651 651 
261	322 322 631 333 353 333 
262	737 717 33 651 737 651 
263	737 717 651 737 460 651 
264	545 284 328 433 
265	158 192 652 682 
266	144 352 24 353 
267	470 691 70 477 328 
268	236 192 690 714 
269	203 535 181 553 
270	618 21 493 514 
271	179 528 462 
272	127 747 459 29 
273	26 111 192 675 
274	18 375 239 
275	717 454 238 492 478 
276	540 360 458 
277	615 18 71 258 
278	75 15 652 407 
279	54 213 565 528 117 
280	70 363 359 478 359 
281	436 188 433 553 
282	33 127 563 181 
283	631 333 217 333 577 707 
284	737 737 651 163 651 
285	91 313 336 359 359 
286	331 391 524 
287	58 174 174 652 407 
288	549 341 21 313 
289	691 296 197 477 
290	352 172 209 192 
291	271 585 377 327 
292	411 436 188 318 
293	322 322 333 514 359 333 359 
294	290 454 
295	552 462 239 
296	615 313 359 73 359 
297	455 399 374 439 
298	443 412 651 731 651 
299	611 535 651 651 
300	691 686 481 
301	331 282 40 392 22 
302	144 295 374 359 359 
303	277 692 204 328 
304	120 7 313 481 
305	322 322 729 740 729 
306	618 669 481 
307	308 411 436 296 
308	648 
309	236 651 71 258 651 741 
310	360 416 460 305 
311	495 84 181 720 
312	476 33 108 546 
313	7 313 439 149 
314	402 
315	486 175 477 574 603 
316	49 648 375 
317	536 
318	312 563 331 632 
319	411 732 436 188 
320	395 454 192 
321	268 69 204 374 
322	221 113 546 29 
323	84 434 
324	709 709 297 439 359 297 359 
325	402 
326	267 202 514 401 
