Course	Room	Teacher	Time	Students
111	HLS109	153	11	1 213 273 335 392 595 648 687 758 871 999 1075 
108	STOAUD	105	10	1 48 115 127 176 181 312 333 337 416 468 474 510 525 599 659 679 951 961 975 1022 1128 1185 
359	STOAUD	137	1	1 4 11 20 34 68 188 199 206 212 215 225 229 251 252 280 293 357 363 386 405 453 461 499 500 502 520 594 618 622 625 649 678 693 702 713 731 747 792 801 888 912 933 975 987 989 1020 1093 1145 1153 1156 1157 1177 1184 
714	ESTW309	67	2	1 47 81 185 202 227 268 456 599 695 701 704 736 806 813 884 927 937 940 1122 
323	GST102	44	1	2 15 91 144 414 438 487 602 745 776 898 1058 
209	HLS108	230	6	2 139 192 209 290 398 438 542 591 594 602 635 767 792 915 954 1002 1026 1049 1076 1113 1136 1164 
483	ESTW309	218	13	2 695 854 956 
476	WDS	254	5	3 116 191 312 387 762 782 801 872 1132 1150 1156 
549	HLS109	77	2	3 7 12 70 184 232 288 372 414 428 445 471 554 555 684 694 711 714 783 824 905 912 1066 1069 1073 1080 1166 
313	SHA410	188	1	3 7 13 158 181 214 226 233 288 296 304 313 380 398 451 463 481 489 531 536 554 583 585 588 591 624 626 642 671 673 689 732 734 753 813 829 851 926 927 981 1001 1010 1026 1028 1042 1066 1114 1116 1132 1173 
98	HLL7	4	2	4 19 22 49 122 124 179 209 222 254 403 409 469 485 603 626 817 830 855 910 935 987 1013 1074 1093 1134 
478	STOAUD	33	5	4 9 13 37 90 111 125 127 184 215 275 280 359 423 425 447 479 507 508 592 631 637 687 698 752 756 777 813 847 891 894 895 912 975 1069 1165 1184 
709	HLS108	56	1	5 22 38 66 78 106 139 170 180 196 236 250 324 336 364 408 411 441 483 495 592 700 728 750 752 759 766 777 895 905 957 960 1060 1069 1079 1103 1104 1120 1125 1162 1170 1175 1183 
632	STOAUD	134	2	5 34 38 68 110 116 139 165 210 229 318 342 364 368 386 413 453 455 461 467 481 500 520 585 613 679 738 740 750 776 820 836 939 957 992 1025 1028 1031 1039 1058 1064 1120 1139 
15	HLS109	22	1	6 16 19 26 44 80 81 85 88 96 111 175 182 278 413 454 457 479 538 568 574 598 652 653 716 730 765 767 823 977 990 1017 1025 1080 1092 1161 1165 
412	SHAAUD	27	3	6 72 109 152 222 225 259 298 347 370 388 431 496 500 511 517 537 555 604 608 664 710 746 908 929 971 1005 1047 1111 
484	STO207	30	5	6 70 336 416 419 885 920 965 1175 
659	CHS101	180	3	7 8 65 69 127 130 133 147 182 212 224 389 503 536 558 625 644 686 722 827 839 936 
33	STOAUD	212	15	8 34 78 80 116 224 262 282 312 447 449 503 627 737 787 804 989 991 
684	STOAUD	261	13	8 10 43 76 202 357 363 456 549 606 635 721 722 723 724 775 787 793 1044 1094 
69	SHA410	62	7	8 77 185 258 321 357 372 383 422 712 861 950 958 990 1063 1107 
172	HLL7	257	1	9 35 47 127 190 210 253 255 290 467 584 609 638 647 656 662 861 891 924 1022 1053 
458	UN114	276	2	9 93 114 168 276 367 406 709 821 841 849 1052 1111 1164 
370	ESTW309	318	6	10 39 72 86 174 227 246 401 412 510 717 718 868 984 1109 1115 
618	HLL7	4	3	10 11 36 79 169 199 270 306 337 377 413 527 724 750 793 801 824 992 1024 1031 1064 1129 1136 
563	STOAUD	261	8	12 26 35 154 170 282 318 335 380 385 436 537 656 662 716 767 823 861 933 978 981 1010 1037 1060 1079 1103 1125 1127 1128 1177 
124	OBS	297	3	13 433 569 579 737 
282	HLS108	122	11	13 92 111 193 301 433 489 490 703 714 731 737 847 881 928 973 1031 1131 1136 
22	HLS108	122	15	13 92 193 301 433 489 490 714 731 847 859 881 928 1131 1136 
445	HLS108	88	7	14 20 22 48 101 129 203 238 446 502 574 598 602 872 947 999 1023 1040 1131 1132 
72	HLS108	21	18	14 49 150 396 451 498 675 744 786 898 955 996 
396	HLL7	330	12	15 896 
689	STO207	36	19	15 572 854 
686	HLS109	77	16	16 300 659 902 1078 1146 1154 
574	STO207	85	2	16 237 315 438 450 664 860 982 1055 1094 1140 
603	STO207	85	4	16 237 315 438 544 655 859 941 
180	HLL107	48	1	17 704 722 
21	HLS108	72	13	17 260 270 288 411 416 426 492 493 496 507 696 728 813 896 1127 1153 
514	HLS108	292	5	17 18 54 92 100 154 158 162 237 270 293 326 381 385 532 749 805 1040 1042 1043 1061 1065 1083 1105 1107 1153 
737	STOAUD	119	3	18 23 24 80 96 99 100 110 114 125 137 167 177 195 236 262 263 284 339 362 402 424 445 471 484 507 538 580 585 593 628 637 651 669 804 825 826 830 879 926 927 937 974 1011 1027 1070 1083 1091 1134 1152 1166 
651	SHAAUD	296	1	18 23 24 72 99 110 114 125 137 152 167 177 193 195 205 222 230 259 262 263 284 298 299 339 374 388 392 393 402 404 445 471 484 507 530 555 580 597 628 677 710 721 746 804 821 826 830 871 877 879 884 932 937 974 1011 1027 1111 1123 1134 1152 1166 
121	WDS	41	8	20 47 129 251 252 501 633 647 724 874 1064 
309	STOAUD	300	21	21 139 143 346 391 443 456 591 677 747 
4	HLL112	151	4	21 166 643 658 704 
399	STOAUD	293	14	22 66 67 78 297 483 633 728 735 737 896 905 1043 1104 1136 1150 1183 
687	SHA217	43	2	23 69 361 683 744 985 1011 1084 1145 1174 
295	HLS108	145	4	25 104 181 197 249 254 302 363 420 428 455 498 520 542 546 629 650 699 741 758 787 806 864 874 911 960 966 996 1114 1161 
546	HLS109	227	3	25 60 70 84 112 179 312 322 368 469 529 535 605 617 662 688 714 744 831 876 979 1103 
202	HLS108	167	2	26 39 87 174 188 236 252 258 326 335 381 421 423 470 523 524 534 540 543 587 602 609 624 631 633 654 662 779 867 885 901 973 1061 1076 1092 1121 1129 1171 
129	STO207	118	10	27 375 616 780 1003 1150 
577	STO207	196	8	27 211 283 848 903 925 1135 1169 
91	SHA217	43	1	28 119 211 260 285 383 432 490 509 535 570 637 816 825 887 921 942 1008 1035 1091 
675	HLL6	76	3	28 188 197 202 273 546 560 795 961 1060 1073 
385	UN114	245	4	28 39 56 162 385 439 461 601 606 807 820 839 902 933 938 970 1060 
222	HLS108	195	29	29 1179 
720	STOAUD	95	12	29 64 171 202 223 311 379 417 549 623 627 748 775 789 822 940 951 1099 1148 
437	CHS101	132	7	30 368 437 550 641 791 832 1068 1163 
489	SHA217	43	3	31 404 437 697 811 838 886 1117 
664	STO207	196	15	32 739 828 1002 
315	HLS108	232	23	33 105 210 546 574 733 825 993 1009 
204	SHA410	54	6	33 41 102 126 137 241 303 321 379 383 384 565 580 593 701 712 858 864 909 997 1107 1145 
341	HLL7	257	4	34 158 288 471 481 503 588 651 743 747 775 834 957 1021 1080 1094 1118 1156 1170 
481	HLS109	259	6	36 101 300 304 306 419 421 516 559 617 632 820 991 1040 1057 1086 1138 
747	HLS109	166	10	37 112 272 330 369 436 501 576 688 771 781 993 
532	UN114	245	9	37 772 849 1099 1111 
363	HLS109	189	7	38 54 138 280 466 548 588 626 725 726 768 864 895 908 928 945 1151 
321	UN114	276	1	39 104 189 346 528 559 703 739 770 798 806 807 970 1099 1174 1182 
585	CHS101	97	1	40 52 55 58 62 83 113 131 179 191 243 291 334 343 360 365 424 430 459 498 539 667 799 819 910 911 959 1013 1032 1072 1141 1185 
58	HLS108	157	9	41 53 88 140 203 287 342 430 479 595 665 670 680 786 843 886 967 1024 1053 1062 1179 
459	STO10	7	1	41 192 216 272 920 
213	HLS108	282	16	42 237 279 341 382 475 480 521 640 803 809 990 1090 
565	HLS108	273	14	42 91 148 153 169 175 279 464 508 648 660 720 894 1001 1067 1128 
528	HLS108	282	12	42 146 151 271 279 341 346 475 480 514 521 640 803 970 1067 1090 1182 
704	WDS	318	1	43 163 204 240 371 377 429 443 542 544 606 623 699 740 783 854 880 1023 1044 1046 1049 1127 
192	SHAAUD	26	6	44 53 54 65 121 129 173 265 268 320 330 416 417 466 486 782 789 827 872 1024 1108 1122 1137 1167 1171 
333	SHAAUD	325	2	45 50 106 115 164 208 235 261 283 293 439 444 491 519 575 589 620 636 671 673 692 834 977 1007 1032 1033 1109 1143 1172 
740	STOAUD	159	19	45 159 164 250 305 463 531 636 837 1110 1123 1172 
548	STOAUD	107	7	46 106 164 230 250 332 343 355 410 491 551 600 601 645 671 672 741 810 821 841 893 949 988 998 1000 1054 1110 1140 1160 
160	SHA217	2	5	48 123 211 976 997 
460	SHA412	71	1	49 221 310 342 534 636 657 676 684 686 725 939 965 1070 1128 
29	HLS109	215	4	49 84 116 238 322 537 574 683 727 736 778 944 946 961 1015 1048 1113 1152 1181 
45	SHA410	179	5	50 63 208 388 399 472 496 556 570 589 614 619 696 718 768 923 968 983 1111 1145 1164 
63	SHA410	31	3	50 103 218 406 418 422 459 472 478 519 586 620 768 923 1012 1016 1033 1043 1063 1068 1089 1109 1135 1143 1144 1176 
308	STOAUD	304	4	51 67 95 101 138 148 153 180 189 232 236 256 307 328 353 381 411 464 470 493 505 528 532 558 561 633 660 707 756 774 795 797 863 924 980 991 1039 1072 1083 1086 1108 1121 1129 1138 1171 
477	HLS109	233	15	51 90 267 289 315 421 624 
374	STO16	168	1	51 297 321 381 399 455 608 715 735 738 800 973 1039 
7	HLS108	178	3	52 57 131 135 163 185 214 304 313 338 354 371 378 429 482 548 562 563 660 674 694 706 715 783 791 853 868 898 999 1015 1022 1097 1098 1155 1181 
